127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000620
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001875
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001527
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003284
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002198
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.003180
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001170
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001530
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001005
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000880
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001199
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000822
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/js/ajax_editor.js, HTTP/1.1, 200, 0.002039
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000504
127.0.0.1, 2017-07-14 10:32:58, GET, /admin/static/_2.15.1/images/files_toggle.png, HTTP/1.1, 200, 0.000345
127.0.0.1, 2017-07-14 10:32:58, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.024765
127.0.0.1, 2017-07-14 10:32:58, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.058415
127.0.0.1, 2017-07-14 10:32:58, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.116780
127.0.0.1, 2017-07-14 10:32:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.150078
127.0.0.1, 2017-07-14 10:32:58, GET, /admin/static/_2.15.1/images/save_icon.png, HTTP/1.1, 200, 0.003332
127.0.0.1, 2017-07-14 10:32:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000208
127.0.0.1, 2017-07-14 10:32:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.105959
127.0.0.1, 2017-07-14 10:32:58, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.256994
127.0.0.1, 2017-07-14 10:33:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061328
127.0.0.1, 2017-07-14 10:33:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.322345
127.0.0.1, 2017-07-14 10:34:06, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.007417
127.0.0.1, 2017-07-14 10:34:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108271
127.0.0.1, 2017-07-14 10:34:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.160872
127.0.0.1, 2017-07-14 10:35:06, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.007990
127.0.0.1, 2017-07-14 10:35:22, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.011349
127.0.0.1, 2017-07-14 10:35:32, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.095606
